RecoleccionID,Fecha,Distrito,Residuo,Toneladas,TiempoRuta,Saturacion,Quejas,DistanciaKm,EstadoCamion
46,2025-03-01,Independencia,Metal,2.43,21,28,3,27.62,Operativo
47,2025-12-14,Ancón,Peligroso,11.82,31,93,2,22.85,Operativo
48,2026-04-21,Los Olivos,Orgánico,15.28,20,50,5,20.14,Operativo
49,2025-10-03,Ancón,Vidrio,17.07,31,46,0,17.41,Operativo
50,2026-07-12,Independencia,Papel y Cartón,2.93,57,38,3,20.48,Operativo
51,2026-06-12,Independencia,Papel y Cartón,3.83,34,60,1,2.44,Operativo
52,2024-09-01,Independencia,Peligroso,17.99,31,29,3,32.07,Operativo
53,2024-07-16,San Martín de Porres,Metal,7.47,37,54,2,27.33,Operativo
54,2025-09-23,Independencia,Papel y Cartón,12.71,60,92,0,27.22,Operativo
55,2024-11-16,San Martín de Porres,Peligroso,19.57,59,74,1,9.21,Operativo
56,2025-05-19,Comas,Vidrio,13.34,62,32,3,30.08,Operativo
57,2025-05-04,San Martín de Porres,Peligroso,8.7,73,55,4,33.36,Operativo
58,2026-02-25,Los Olivos,Papel y Cartón,6.71,36,52,4,9.02,Operativo
59,2024-08-13,Puente Piedra,Orgánico,3.11,22,99,3,26.99,Operativo
60,2026-02-24,Carabayllo,Plástico,8.24,36,63,3,9.41,Operativo
61,2026-05-14,San Martín de Porres,Orgánico,8.37,74,49,1,14.76,Operativo
62,2025-11-06,Comas,Vidrio,9.64,64,35,4,19.75,Operativo
63,2025-10-07,Carabayllo,Vidrio,4.31,47,75,0,29.04,Operativo
64,2024-08-09,Carabayllo,Papel y Cartón,18.17,32,48,1,32.5,Operativo
65,2025-12-10,Los Olivos,Metal,2.61,24,27,1,24.24,Operativo
66,2025-01-27,Independencia,Vidrio,2.85,55,66,1,4.37,Operativo
67,2024-10-23,San Martín de Porres,Vidrio,14.47,69,57,3,18.74,Operativo
68,2024-10-22,Santa Rosa,Vidrio,6.18,31,82,0,13.42,Operativo
69,2025-12-16,San Martín de Porres,Peligroso,5.03,47,75,2,30.81,Mantenimiento
70,2025-05-21,Los Olivos,Peligroso,4.49,42,48,5,26.46,Operativo
71,2025-12-30,Santa Rosa,Papel y Cartón,13.77,52,90,1,30.49,Mantenimiento
72,2025-02-20,Independencia,Plástico,2.1,25,82,0,5.34,Operativo
73,2026-05-25,Carabayllo,Plástico,18.08,61,72,3,14.26,Operativo
74,2026-07-02,Santa Rosa,Vidrio,9.89,64,82,1,29.16,Operativo
75,2025-01-08,Comas,Orgánico,5.87,21,26,0,6.01,Operativo
76,2025-06-28,Santa Rosa,Vidrio,2.87,29,80,2,14.24,Operativo
77,2025-05-20,Independencia,Vidrio,13.39,66,97,1,21.5,Operativo
78,2025-07-28,Ancón,Papel y Cartón,16.45,66,45,3,18.16,Mantenimiento
79,2024-07-24,Ancón,Plástico,6.79,63,34,5,3.77,Operativo
80,2024-09-07,Santa Rosa,Peligroso,19.87,65,25,3,26.3,Operativo
81,2025-08-04,Santa Rosa,Metal,15.04,35,45,5,31.14,Operativo
82,2026-07-09,Ancón,Orgánico,15.34,57,78,5,29.96,Operativo
83,2024-07-18,Ancón,Peligroso,6.75,67,47,3,14.47,Operativo
84,2024-12-24,Puente Piedra,Orgánico,11.28,45,36,1,5.45,Operativo
85,2026-05-25,Ancón,Vidrio,17.92,76,55,0,31.64,Operativo
86,2026-05-27,Los Olivos,Plástico,9.39,30,96,0,26.97,Operativo
87,2024-10-19,Carabayllo,Peligroso,17.0,69,68,3,16.85,Operativo
88,2025-01-24,Carabayllo,Peligroso,19.28,20,27,3,15.95,Operativo
89,2025-01-24,Los Olivos,Orgánico,11.22,35,61,3,29.6,Operativo
90,2025-10-17,Puente Piedra,Vidrio,15.31,41,99,2,22.92,Operativo
91,2026-02-11,Ancón,Plástico,17.73,70,60,4,28.36,Operativo
92,2025-12-17,Carabayllo,Papel y Cartón,5.3,44,67,0,25.72,Operativo
93,2025-05-19,San Martín de Porres,Papel y Cartón,3.48,52,33,5,10.26,Operativo
94,2024-08-27,Santa Rosa,Peligroso,2.91,52,78,0,9.1,Operativo
95,2025-07-01,Santa Rosa,Plástico,10.59,78,88,5,33.73,Operativo
96,2026-06-01,Comas,Metal,11.37,70,89,2,18.48,Operativo
97,2025-03-05,Comas,Plástico,18.36,44,29,4,26.49,Operativo
98,2025-04-01,San Martín de Porres,Papel y Cartón,2.74,20,24,3,27.01,Operativo
99,2026-02-15,Comas,Vidrio,5.65,75,64,3,15.94,Operativo
100,2024-08-14,Los Olivos,Papel y Cartón,12.36,49,27,4,9.45,Operativo
101,2025-07-30,Independencia,Metal,4.21,45,94,4,33.8,Operativo
102,2025-11-05,Comas,Plástico,15.0,77,26,1,7.06,Operativo
103,2026-06-23,Carabayllo,Vidrio,8.73,76,80,0,9.61,Operativo
104,2025-07-28,Puente Piedra,Vidrio,2.38,32,36,4,33.76,Operativo
105,2025-08-19,Independencia,Metal,15.55,21,81,3,33.6,Operativo
106,2026-06-24,Independencia,Orgánico,19.47,58,29,2,3.71,Operativo
107,2026-03-05,Independencia,Metal,8.77,68,42,5,17.62,Operativo
108,2025-04-26,San Martín de Porres,Peligroso,4.04,51,39,5,24.57,Operativo
109,2025-05-08,Los Olivos,Plástico,18.98,53,55,5,31.35,Operativo
110,2024-07-13,Comas,Plástico,4.94,48,83,1,19.92,Operativo
111,2026-05-24,Ancón,Orgánico,19.49,29,44,1,19.07,Operativo
112,2025-07-16,Los Olivos,Plástico,2.78,38,98,4,14.05,Operativo
113,2025-06-02,Santa Rosa,Plástico,17.56,77,58,5,7.0,Operativo
114,2024-08-20,Los Olivos,Vidrio,8.95,44,34,2,25.46,Operativo
115,2025-05-16,Los Olivos,Vidrio,19.76,71,94,3,28.46,Mantenimiento
116,2025-02-09,Independencia,Vidrio,5.46,38,77,5,30.65,Operativo
117,2025-08-23,Independencia,Papel y Cartón,3.65,20,65,3,33.45,Operativo
118,2025-08-01,San Martín de Porres,Orgánico,16.49,65,35,1,32.61,Operativo
119,2026-02-22,San Martín de Porres,Papel y Cartón,11.35,21,58,0,30.58,Operativo
120,2026-03-31,Ancón,Peligroso,18.11,60,70,5,20.07,Operativo
121,2026-04-24,Los Olivos,Papel y Cartón,3.56,55,96,0,22.96,Operativo
122,2024-07-14,Ancón,Peligroso,7.6,29,42,4,25.2,Operativo
123,2025-05-03,Los Olivos,Plástico,3.98,46,81,1,23.98,Operativo
124,2025-05-11,Santa Rosa,Vidrio,9.9,68,28,5,8.59,Operativo
125,2025-12-16,Los Olivos,Metal,12.87,66,77,2,9.19,Operativo
126,2025-07-09,Independencia,Vidrio,11.58,44,77,1,23.29,Operativo
127,2026-04-25,Ancón,Metal,3.37,56,23,5,34.67,Operativo
128,2024-10-01,Los Olivos,Peligroso,14.71,67,62,5,28.97,Operativo
129,2025-08-21,Independencia,Orgánico,10.45,37,29,3,8.21,Operativo
130,2025-08-01,San Martín de Porres,Papel y Cartón,19.66,35,24,1,19.0,Operativo
131,2026-06-27,Ancón,Metal,2.31,58,97,3,13.33,Operativo
132,2025-04-11,Puente Piedra,Orgánico,5.22,33,50,3,31.54,Operativo
133,2024-07-31,San Martín de Porres,Plástico,5.58,39,98,2,3.71,Operativo
134,2026-06-20,Independencia,Peligroso,9.3,23,25,1,14.65,Mantenimiento
135,2025-07-02,Santa Rosa,Vidrio,14.24,41,91,3,24.39,Operativo
136,2025-12-15,Independencia,Metal,6.25,44,92,4,17.58,Operativo
137,2024-10-09,Los Olivos,Orgánico,6.5,42,98,2,23.25,Operativo
138,2025-02-20,Puente Piedra,Metal,8.02,51,90,5,15.44,Operativo
139,2025-11-20,Carabayllo,Papel y Cartón,6.81,43,86,2,30.12,Operativo
140,2024-09-15,Independencia,Vidrio,8.52,53,60,1,12.95,Operativo
141,2026-06-18,Santa Rosa,Orgánico,15.95,36,70,2,22.28,Operativo
142,2025-09-13,Comas,Plástico,17.66,78,78,4,32.64,Operativo
143,2025-07-20,Ancón,Vidrio,15.9,59,84,1,7.67,Mantenimiento
144,2024-11-24,San Martín de Porres,Metal,15.92,49,94,5,33.4,Operativo
145,2025-03-26,Puente Piedra,Plástico,19.53,31,83,1,8.53,Operativo
146,2026-05-11,Los Olivos,Orgánico,10.44,20,61,4,26.3,Operativo
147,2025-08-08,Puente Piedra,Plástico,7.7,41,62,3,12.02,Operativo
148,2025-05-24,Independencia,Papel y Cartón,2.19,52,23,5,29.8,Operativo
149,2026-05-17,Comas,Plástico,11.39,37,43,2,10.99,Mantenimiento
150,2024-09-11,San Martín de Porres,Papel y Cartón,4.78,39,54,5,25.38,Operativo
151,2026-03-04,Independencia,Vidrio,5.11,73,82,1,15.32,Operativo
152,2025-12-27,Independencia,Orgánico,19.53,56,79,4,31.39,Operativo
153,2026-05-07,Carabayllo,Orgánico,14.59,46,70,0,22.73,Operativo
154,2025-09-20,San Martín de Porres,Metal,4.82,57,31,4,32.85,Operativo
155,2024-12-21,Comas,Metal,12.68,44,50,5,12.75,Operativo
156,2024-10-02,Los Olivos,Vidrio,9.33,57,65,4,8.21,Mantenimiento
157,2026-04-01,Ancón,Peligroso,7.66,51,21,0,24.21,Operativo
158,2024-08-04,Los Olivos,Papel y Cartón,13.26,24,73,0,22.65,Mantenimiento
159,2024-12-23,Puente Piedra,Plástico,5.37,59,27,1,13.6,Operativo
160,2026-03-15,San Martín de Porres,Papel y Cartón,11.02,37,63,4,4.23,Operativo
161,2025-11-05,Ancón,Orgánico,13.74,26,51,3,28.25,Operativo
162,2025-03-09,San Martín de Porres,Vidrio,15.25,76,67,2,34.34,Operativo
163,2026-06-19,Ancón,Orgánico,17.38,79,20,0,24.64,Operativo
164,2026-07-01,Santa Rosa,Metal,18.21,23,80,0,9.91,Mantenimiento
165,2025-07-09,Santa Rosa,Orgánico,3.26,61,67,5,32.81,Operativo
166,2024-11-03,Comas,Plástico,10.1,50,48,0,10.63,Operativo
167,2026-06-08,Puente Piedra,Orgánico,3.59,56,21,5,9.6,Operativo
168,2024-12-03,Independencia,Peligroso,2.4,60,80,1,5.54,Operativo
169,2025-11-27,Puente Piedra,Metal,2.5,46,69,1,33.82,Operativo
170,2024-09-27,Puente Piedra,Vidrio,3.15,28,31,5,17.87,Operativo
171,2026-04-20,Ancón,Plástico,9.84,20,78,0,24.6,Operativo
172,2024-12-15,Ancón,Orgánico,16.96,34,72,3,20.82,Mantenimiento
173,2026-02-13,Los Olivos,Vidrio,13.13,78,44,5,4.86,Operativo
174,2024-11-10,Ancón,Vidrio,5.79,39,35,5,8.95,Operativo
175,2025-02-12,Carabayllo,Papel y Cartón,10.64,68,97,2,3.57,Operativo
176,2025-11-21,Ancón,Peligroso,14.4,79,79,3,29.32,Operativo
177,2025-02-06,Santa Rosa,Peligroso,10.05,52,20,0,31.17,Operativo
178,2025-10-08,Ancón,Metal,8.12,25,26,1,22.44,Operativo
179,2024-07-16,Comas,Plástico,19.97,42,55,0,7.76,Operativo
180,2026-04-20,Puente Piedra,Orgánico,11.24,43,62,4,20.44,Operativo
181,2025-11-16,Puente Piedra,Vidrio,9.92,71,25,2,18.3,Operativo
182,2026-02-20,Independencia,Peligroso,12.18,26,40,0,26.87,Operativo
183,2025-03-26,Santa Rosa,Papel y Cartón,10.62,64,91,3,10.11,Operativo
184,2025-08-19,Los Olivos,Metal,3.81,54,55,0,2.33,Operativo
185,2026-06-10,Ancón,Papel y Cartón,19.66,29,42,3,34.8,Operativo
186,2025-02-10,San Martín de Porres,Plástico,14.05,35,70,0,14.33,Operativo
187,2026-02-22,Independencia,Peligroso,8.17,33,91,2,11.45,Operativo
188,2026-06-18,Los Olivos,Orgánico,8.35,33,76,3,28.38,Mantenimiento
189,2024-08-10,Independencia,Papel y Cartón,12.14,38,22,0,25.15,Operativo
190,2026-03-27,Puente Piedra,Peligroso,13.57,53,67,2,24.97,Operativo
191,2025-05-05,Los Olivos,Plástico,12.25,49,67,4,5.61,Operativo
192,2025-04-25,Carabayllo,Plástico,16.08,55,79,1,25.07,Operativo
193,2024-10-04,Ancón,Metal,16.7,25,38,3,22.69,Operativo
194,2024-10-18,Los Olivos,Peligroso,7.32,50,77,2,6.49,Operativo
195,2024-11-02,San Martín de Porres,Vidrio,14.17,28,38,3,15.56,Operativo
196,2024-08-22,Comas,Peligroso,17.13,67,85,5,8.21,Operativo
197,2025-12-18,San Martín de Porres,Metal,15.97,49,81,2,21.2,Operativo
198,2024-10-19,Independencia,Plástico,9.58,59,65,5,13.27,Operativo
199,2026-03-15,Ancón,Vidrio,12.41,38,63,2,23.9,Operativo
200,2024-09-12,Los Olivos,Peligroso,19.16,57,88,0,28.86,Operativo
201,2025-10-18,Independencia,Metal,5.9,27,46,0,8.28,Operativo
202,2025-02-01,San Martín de Porres,Papel y Cartón,18.78,70,92,1,26.4,Operativo
203,2025-07-27,Santa Rosa,Metal,14.9,51,43,5,28.31,Operativo
204,2026-06-01,San Martín de Porres,Peligroso,6.14,41,22,3,21.04,Operativo
205,2026-06-24,Independencia,Metal,2.66,59,28,2,30.45,Operativo
206,2026-04-09,Independencia,Vidrio,3.6,74,69,3,32.33,Operativo
207,2025-03-08,Puente Piedra,Papel y Cartón,10.75,60,59,2,28.98,Operativo
208,2025-09-29,Ancón,Orgánico,9.7,53,39,5,29.0,Operativo
209,2025-05-17,Los Olivos,Papel y Cartón,5.94,75,88,3,3.25,Mantenimiento
210,2024-11-24,Ancón,Vidrio,3.94,63,46,2,24.55,Operativo
211,2024-09-13,Los Olivos,Orgánico,16.59,58,73,2,15.28,Mantenimiento
212,2025-12-27,Comas,Plástico,12.53,55,58,0,5.87,Operativo
213,2024-09-23,Santa Rosa,Orgánico,8.09,64,26,3,17.01,Operativo
214,2025-09-08,Comas,Vidrio,10.16,37,73,0,5.14,Operativo
215,2025-05-02,Puente Piedra,Papel y Cartón,14.19,66,28,4,32.74,Operativo
216,2024-10-10,Ancón,Orgánico,8.82,22,39,4,23.73,Operativo
217,2025-09-25,Los Olivos,Orgánico,7.32,40,97,5,2.02,Operativo
218,2026-06-06,Independencia,Vidrio,14.07,55,39,3,10.59,Operativo
219,2025-11-16,San Martín de Porres,Peligroso,16.42,59,49,3,2.0,Operativo
220,2024-11-08,Los Olivos,Peligroso,14.85,54,32,0,11.75,Operativo
221,2024-09-30,San Martín de Porres,Papel y Cartón,14.0,38,77,0,9.31,Operativo
222,2026-07-06,San Martín de Porres,Vidrio,19.3,68,24,0,10.63,Operativo
223,2025-08-28,Comas,Plástico,10.2,48,64,3,25.17,Operativo
224,2026-01-01,Puente Piedra,Vidrio,5.84,50,53,3,27.28,Operativo
225,2026-06-20,Carabayllo,Papel y Cartón,7.91,30,90,0,23.28,Operativo
226,2025-06-02,Carabayllo,Peligroso,9.28,58,23,5,8.78,Operativo
227,2024-08-01,Santa Rosa,Orgánico,5.74,52,50,5,23.79,Operativo
228,2026-01-02,San Martín de Porres,Vidrio,3.99,36,79,3,17.61,Operativo
229,2025-09-09,Ancón,Plástico,17.16,65,72,4,24.94,Mantenimiento
230,2024-09-07,Carabayllo,Plástico,8.32,31,71,1,23.07,Operativo
231,2025-08-23,Independencia,Vidrio,16.07,47,40,4,2.93,Mantenimiento
232,2024-09-10,Comas,Plástico,8.46,44,20,4,13.2,Operativo
233,2025-05-20,Puente Piedra,Plástico,9.55,38,93,1,5.67,Operativo
234,2026-06-17,Puente Piedra,Papel y Cartón,3.26,66,88,1,2.25,Operativo
235,2025-07-17,Puente Piedra,Metal,14.87,67,36,1,26.21,Operativo
236,2026-06-26,Comas,Peligroso,14.69,28,27,0,20.35,Operativo
237,2025-03-18,Puente Piedra,Papel y Cartón,13.14,24,90,3,32.26,Operativo
238,2026-03-17,San Martín de Porres,Vidrio,12.3,35,44,2,14.71,Operativo
239,2025-03-04,Ancón,Peligroso,17.38,27,98,1,24.14,Mantenimiento
240,2025-09-19,Puente Piedra,Orgánico,4.56,51,77,2,10.44,Operativo
241,2025-09-22,Independencia,Vidrio,8.29,29,99,3,29.6,Operativo
242,2025-02-07,Carabayllo,Vidrio,12.11,35,20,4,20.02,Mantenimiento
243,2025-03-25,Santa Rosa,Metal,19.25,43,67,0,5.51,Operativo
244,2025-10-27,Puente Piedra,Metal,2.42,32,86,2,13.25,Operativo
245,2025-01-02,Ancón,Vidrio,3.47,61,71,2,8.18,Operativo
246,2025-07-30,Puente Piedra,Peligroso,15.52,76,39,3,32.65,Operativo
247,2026-07-07,San Martín de Porres,Plástico,14.81,20,95,4,27.91,Operativo
248,2025-03-09,Ancón,Vidrio,17.57,38,98,5,15.09,Operativo
249,2025-12-24,Carabayllo,Orgánico,12.43,69,47,5,4.15,Operativo
250,2026-01-11,Carabayllo,Orgánico,10.18,42,51,0,18.78,Operativo
251,2026-01-06,Independencia,Metal,18.02,38,76,0,24.74,Operativo
252,2025-02-19,Independencia,Papel y Cartón,8.02,54,94,4,24.55,Mantenimiento
253,2024-11-24,Carabayllo,Papel y Cartón,14.03,69,79,5,22.88,Operativo
254,2026-07-04,Carabayllo,Orgánico,16.71,77,99,4,5.73,Operativo
255,2025-06-22,Puente Piedra,Plástico,12.82,57,93,0,12.8,Operativo
256,2026-04-02,San Martín de Porres,Metal,18.36,33,84,4,13.12,Operativo
257,2025-09-22,Santa Rosa,Peligroso,5.83,74,57,0,10.91,Operativo
258,2026-07-04,Ancón,Peligroso,17.71,38,71,0,11.49,Operativo
259,2025-10-18,Independencia,Vidrio,11.23,45,99,5,11.15,Operativo
260,2025-10-03,Independencia,Peligroso,3.41,61,33,3,15.16,Operativo
261,2026-01-11,Carabayllo,Metal,6.26,47,26,3,15.35,Operativo
262,2026-02-14,Independencia,Peligroso,8.08,43,92,1,30.56,Operativo
263,2024-09-13,Puente Piedra,Peligroso,7.7,55,50,4,3.51,Operativo
264,2025-12-16,Santa Rosa,Papel y Cartón,10.57,78,39,5,20.63,Operativo
265,2025-04-26,Santa Rosa,Vidrio,14.85,42,76,1,4.03,Operativo
266,2024-10-28,Carabayllo,Plástico,8.18,22,34,1,25.41,Operativo
267,2026-03-07,Puente Piedra,Peligroso,18.6,60,88,5,31.38,Operativo
268,2025-01-24,Los Olivos,Peligroso,11.93,68,54,0,9.88,Operativo
269,2024-08-28,Independencia,Papel y Cartón,11.52,66,33,2,8.45,Operativo
270,2025-11-30,Puente Piedra,Papel y Cartón,17.03,78,45,4,5.66,Operativo
271,2026-02-11,Santa Rosa,Vidrio,3.71,29,57,4,6.26,Mantenimiento
272,2026-07-04,Comas,Orgánico,2.39,28,78,3,18.33,Operativo
273,2025-03-20,Comas,Vidrio,5.94,62,41,5,24.42,Operativo
274,2025-09-03,Santa Rosa,Orgánico,6.33,35,32,4,30.14,Operativo
275,2025-08-01,Carabayllo,Vidrio,17.61,35,20,4,25.65,Operativo
276,2024-12-16,Independencia,Peligroso,18.32,34,48,2,24.52,Operativo
277,2024-09-01,San Martín de Porres,Peligroso,11.35,59,89,4,19.99,Operativo
278,2024-10-16,Puente Piedra,Peligroso,2.27,61,48,1,5.41,Mantenimiento
279,2025-07-01,Independencia,Vidrio,18.74,25,52,0,25.07,Operativo
280,2026-07-12,Santa Rosa,Vidrio,19.11,71,70,4,8.84,Operativo
281,2026-01-26,Santa Rosa,Metal,17.35,53,68,4,23.4,Operativo
282,2024-11-09,Los Olivos,Papel y Cartón,2.34,50,87,1,17.99,Mantenimiento
283,2026-01-09,Independencia,Metal,13.72,59,29,1,14.38,Operativo
284,2025-12-31,Santa Rosa,Orgánico,2.26,48,96,3,18.6,Operativo
285,2025-05-15,San Martín de Porres,Plástico,5.87,51,89,3,17.93,Operativo
286,2024-07-23,Los Olivos,Papel y Cartón,14.59,56,22,5,20.89,Operativo
287,2026-02-07,Puente Piedra,Papel y Cartón,17.55,41,22,5,24.21,Operativo
288,2025-05-26,Santa Rosa,Orgánico,5.11,43,35,5,11.99,Operativo
289,2024-10-11,Independencia,Plástico,18.1,38,76,5,11.53,Operativo
290,2026-05-05,Los Olivos,Orgánico,18.91,47,88,3,30.73,Mantenimiento
291,2025-04-28,Puente Piedra,Metal,11.58,28,48,5,12.75,Operativo
292,2025-08-02,Santa Rosa,Orgánico,2.4,58,77,1,22.61,Operativo
293,2024-08-18,Ancón,Orgánico,17.59,34,94,5,24.28,Operativo
294,2025-01-20,Ancón,Papel y Cartón,7.82,41,46,4,32.04,Operativo
295,2025-04-10,Puente Piedra,Vidrio,18.85,38,47,4,2.97,Mantenimiento
296,2025-01-31,Comas,Papel y Cartón,9.66,49,95,5,24.18,Operativo
297,2025-07-20,Santa Rosa,Orgánico,12.47,20,34,4,23.29,Operativo
298,2025-02-04,Santa Rosa,Vidrio,8.07,31,75,0,21.27,Operativo
299,2025-02-14,Ancón,Metal,16.89,44,79,5,23.32,Operativo
300,2025-06-11,Carabayllo,Peligroso,5.41,35,54,5,27.03,Operativo
301,2025-12-21,Ancón,Metal,4.7,70,58,3,32.56,Mantenimiento
302,2026-05-20,Puente Piedra,Vidrio,13.99,67,91,2,20.91,Operativo
303,2025-10-03,Puente Piedra,Vidrio,14.38,75,68,2,11.88,Operativo
304,2025-12-14,Comas,Peligroso,19.5,61,77,4,14.91,Mantenimiento
305,2026-06-23,Ancón,Metal,6.57,64,24,2,15.59,Mantenimiento
306,2025-04-17,Puente Piedra,Papel y Cartón,8.0,50,88,4,18.73,Operativo
307,2024-07-30,Los Olivos,Vidrio,13.51,62,40,4,25.1,Operativo
308,2026-01-24,Carabayllo,Plástico,4.25,37,79,1,25.56,Operativo
309,2024-09-14,Carabayllo,Peligroso,6.92,30,30,3,12.92,Operativo
310,2025-11-24,Ancón,Vidrio,11.12,61,79,5,9.01,Operativo
311,2025-05-06,Los Olivos,Orgánico,8.62,26,90,4,10.69,Operativo
312,2026-07-11,Los Olivos,Orgánico,2.9,53,72,3,32.49,Operativo
313,2024-08-02,Independencia,Orgánico,10.08,52,27,4,5.0,Operativo
314,2025-03-04,Ancón,Plástico,15.6,52,48,3,4.7,Operativo
315,2024-12-05,San Martín de Porres,Vidrio,11.08,41,85,1,31.08,Operativo
316,2024-07-27,Carabayllo,Vidrio,11.96,72,65,3,17.32,Operativo
317,2025-12-17,San Martín de Porres,Metal,14.96,61,57,1,11.9,Operativo
318,2025-12-03,Los Olivos,Metal,2.12,53,73,2,9.65,Operativo
319,2025-10-25,Santa Rosa,Metal,8.82,73,66,1,7.31,Operativo
320,2025-06-21,Independencia,Orgánico,7.37,55,32,5,26.22,Operativo
321,2025-11-13,Carabayllo,Orgánico,5.28,72,64,4,20.38,Operativo
322,2026-02-28,Carabayllo,Metal,16.74,35,80,2,7.15,Mantenimiento
323,2025-01-31,Carabayllo,Papel y Cartón,2.77,30,35,5,2.0,Mantenimiento
324,2025-08-03,Puente Piedra,Papel y Cartón,5.08,53,79,2,10.45,Operativo
325,2025-12-23,Independencia,Papel y Cartón,8.68,35,91,4,10.81,Operativo
326,2026-05-20,Carabayllo,Orgánico,14.07,40,35,3,23.6,Operativo
327,2024-12-16,San Martín de Porres,Metal,11.35,46,70,0,20.04,Mantenimiento
328,2025-10-11,Santa Rosa,Peligroso,3.15,52,21,0,33.13,Operativo
329,2025-01-31,Comas,Plástico,19.97,29,26,4,20.48,Operativo
330,2025-05-17,Independencia,Vidrio,11.1,54,21,0,14.77,Operativo
331,2026-01-20,Puente Piedra,Orgánico,3.07,22,58,0,7.0,Operativo
332,2025-04-26,San Martín de Porres,Papel y Cartón,5.37,28,45,3,6.6,Operativo
333,2024-08-09,Independencia,Vidrio,17.24,22,48,1,24.01,Operativo
334,2025-02-19,Los Olivos,Peligroso,4.15,34,85,5,24.13,Mantenimiento
335,2024-10-07,Comas,Orgánico,9.4,54,23,1,17.71,Operativo
336,2025-03-30,Los Olivos,Papel y Cartón,19.6,66,86,2,16.79,Operativo
337,2025-03-04,Comas,Peligroso,13.89,74,79,4,14.66,Operativo
338,2025-09-04,San Martín de Porres,Peligroso,11.16,42,56,5,5.83,Operativo
